rank,org_a,comm_a,org_b,comm_b,statements,relationship,betweenness,description,evidence
1,Camorra,C4 (50),Islamic State,C7 (120),1,cooperation,0.056453,Camorra may be in alliance with Islamic State for drug distribution.,"According to numerous articles, the Camorra may be in alliance with the Islamic State ."
2,Camorra,C4 (50),Al-Qaeda,C7 (120),1,cooperation,0.046712,"Camorra allegedly provided safe houses, forged documents, firearms, and explosives to Al-Qaeda in exchange for narcotics.","In 2005, it was alleged the Camorra created safe houses, forged documents, firearms, and explosives to Al-Qaeda in return for narcotics, which are brought into Italy via the Adriatic Sea."
3,'Ndrangheta,C4 (50),Hells Angels Motorcycle Club,C2 (243),1,cooperation,0.043371,"In Canada, 'Ndrangheta has contacts with the Rizzuto family and Hells Angels.",In Canada vi sono contatti con la criminalità della famiglia Rizzuto e gli Hells Angels .
4,Black Mafia,C42 (24),Gambino crime family,C3 (111),1,cooperation,0.042207,"The Gambino Crime Family did business with the Black Mafia, supplying drugs.","Angelo Bruno , the don of the Philadelphia crime family , discouraged drug dealing in South Philadelphia, but could not prevent deals being made by the New York mafia families such as the Gambino Crime Family , which were doing business with the grow"
5,'Ndrangheta,C4 (50),Primeiro Comando da Capital,C11 (54),5,cooperation,0.025084,'Ndrangheta and PCC formed an alliance for cocaine trafficking.,an alliance between various 'ndrine clans and the Primeiro Comando da Capital since the mid-2010s has increased the mafia's presence in the country
6,Five Points Gang,C51 (17),Morello crime family,C99 (5),1,cooperation,0.025068,Listed as an ally in the infobox.,Allies: Morello crime family
7,Five Points Gang,C51 (17),Dead Rabbits,C33 (21),1,other,0.025021,Five Points Gang absorbed remaining members of the Dead Rabbits.,"Kelly recruited the remaining members of other Five Points gangs, such as the Dead Rabbits and Whyos, into his growing gang."
8,Sinaloa Cartel,C1 (159),Hamas,C24 (40),1,cooperation,0.023506,Infobox lists Hamas as an ally.,Aliados: ... Hamás
9,Outlaws Motorcycle Club,C2 (243),Hammerskins,C38 (34),2,cooperation,0.022927,Infobox lists Hammerskins as ally.,"Allies: Aryan Nations, Bandidos MC, Black Pistons MC, Breed MC, Buffalo crime family, Chicago Outfit, Detroit Partnership, Grim Reapers MC, Gypsy Joker MC, Hammerskins, New Orleans crime family, Pittsburgh crime family, Rock Machine MC"
10,Aryan Nations,C68 (17),Al-Qaeda,C7 (120),1,cooperation,0.022151,August Kreis III attempted to form an alliance between Aryan Nations and al Qaeda.,"In 2005, Kreis received media attention because he attempted to form an Aryan Nations–al Qaeda alliance."
11,Sinaloa Cartel,C1 (159),Hezbollah,C24 (40),1,cooperation,0.022038,Infobox lists Hezbollah as an ally.,Aliados: ... Hezbolá
12,Hells Angels Motorcycle Club,C2 (243),Sinaloa Cartel,C1 (159),3,cooperation,0.021401,"Mexican cartels including Sinaloa Cartel smuggle cocaine into Canada via the Port of Vancouver, which is controlled by Hells Angels.","In 2012, a report by Transport Canada stated that the a number of Mexican cartels such as the Sinaloa Cartel, Los Zetas, the Knights Templar Cartel and the South Pacific Cartel are smuggling cocaine into Canada via the port of Vancouver."
13,Gambino crime family,C3 (111),'Ndrangheta,C4 (50),1,cooperation,0.020956,Gambino members were arrested alongside 'Ndrangheta members in a transatlantic drug ring.,"In 2014, FBI and Italian police arrested 17 members and associates of the 'ndrangheta Mafia, in particular the Ursino clan, and 7 members and associates of the Gambino and Bonanno families."
14,Camorra,C4 (50),Morello crime family,C99 (5),3,conflict,0.020215,Camorra rivaled the Morello crime family in New York City.,They rivaled the now defunct Morello crime family for power in New York City.
15,Yamaguchi-gumi,C13 (68),Primeiro Comando da Capital,C11 (54),1,cooperation,0.019822,Yamaguchi-gumi faction leader was involved in an alliance with PCC in Brazil.,they also established an alliance with the Brazilian drug cartel Primeiro Comando da Capital (PCC).
16,Five Points Gang,C51 (17),White Hand Gang,C4 (50),1,conflict,0.018497,Listed as a rival in the infobox.,Rivals: White Hand Gang
17,American Mafia,C4 (50),Outlaws Motorcycle Club,C2 (243),2,cooperation,0.016733,The American Mafia is allied with the Outlaws.,"Allies: ... various motorcycle gangs (such as the Hells Angels, Outlaws, and Pagan's)"
18,Big Circle Gang,C18 (40),'Ndrangheta,C4 (50),1,cooperation,0.016257,Big Circle Gang formed an alliance with the 'Ndrangheta.,the Big Circle Boys in Toronto under the leadership of Tse Chi Lop ... was said to have formed an alliance with ... the 'Ndrangheta
