rank,org_a,country_a,org_b,country_b,statements,betweenness,description,evidence_quote
1,'Ndrangheta,Italy,American Mafia,United States,12,0.155770,'Ndrangheta collaborates with Italian-American Mafia.,"These Italian crime groups frequently collaborate with the Italian-American Mafia, which is itself an offshoot of the Sicilian Mafia."
2,Gulf Cartel,Mexico,Los Zetas,Mexico,22,0.135379,Gulf Cartel and Los Zetas were formerly allied before their split.,"The rumors of the broken alliance between the Gulf Cartel and Los Zetas began on blogs and mass emails in September 2009, but it remained pretty much the same throughout that year—a rumor."
3,Gulf Cartel,Mexico,Sinaloa Cartel,Mexico,10,0.116870,Gulf Cartel allied with Sinaloa Cartel to fight Los Zetas.,"the Gulf organization joined forces with its former rivals, the Sinaloa Cartel and La Familia Michoacana, aiming to take out Los Zetas."
4,'Ndrangheta,Italy,Los Zetas,Mexico,4,0.115913,'Ndrangheta works in conjunction with Los Zetas in drug trade.,"the 'Ndrangheta works in conjunction with Mexican drug cartels in the drug trade, such as with the mercenary army known as Los Zetas."
5,Camorra,Italy,American Mafia,United States,11,0.109530,The American Mafia cooperates with the Camorra in criminal activities.,"Today, the Italian-American Mafia cooperates in various criminal activities with Italian organized crime groups, such as the Sicilian Mafia, the Camorra of Campania and the 'Ndrangheta of Calabria."
6,Primeiro Comando da Capital,Brazil,'Ndrangheta,Italy,5,0.097712,'Ndrangheta and PCC formed an alliance for cocaine trafficking.,an alliance between various 'ndrine clans and the Primeiro Comando da Capital since the mid-2010s has increased the mafia's presence in the country
7,Bonanno crime family,United States,Sicilian Mafia,Italy,5,0.075431,Bonanno family cooperated with Sicilian Mafia in heroin trafficking.,"the family maintained close ties to the Sicilian Mafia, with whom it orchestrated the importation of billions of dollars' worth of heroin into the United States during the mid-to-late 20th century."
8,'Ndrina De Stefano,Italy,Nuova Camorra Organizzata,Italy,6,0.072485,De Stefano used NCO to kill Tripodo; they worked together in drug trafficking.,Domenico Tripodo fu arrestato il 21 febbraio 1975 e incarcerato alla prigione di Poggioreale a Napoli e fu ucciso il 26 agosto 1976 in cella su richiesta di Paolo De Stefano dalla Nuova Camorra Organizzata di Raffaele Cutolo che lavorava con loro nel traffico di droga.
9,Bandidos Motorcycle Club,United States,Los Zetas,Mexico,4,0.067647,Infobox lists Los Zetas as ally.,"Allies: Brother Speed MC, Chicanos MC, Diablos MC, Mobshitters MC, Outlaws MC, Rock Machine MC, Satudarah MC, X-Team, Los Zetas"
10,Nuova Famiglia,Italy,American Mafia,United States,3,0.065593,The Nuova Famiglia was created in agreement with Cosa Nostra.,"Proprio tra fine di questo decennio e i primissimi anni di quello successivo nacque, “d’intesa con Cosa nostra”, la Nuova Famiglia (NF)"
11,Camorra,Italy,Al-Qaeda,Saudi Arabia,1,0.063359,"Camorra allegedly provided safe houses, forged documents, firearms, and explosives to Al-Qaeda in exchange for narcotics.","In 2005, it was alleged the Camorra created safe houses, forged documents, firearms, and explosives to Al-Qaeda in return for narcotics, which are brought into Italy via the Adriatic Sea."
12,'Ndrangheta,Italy,Nuova Camorra Organizzata,Italy,5,0.060785,NCO had an alliance with 'Ndrangheta clans.,had an alliance with numerous Calabrian 'Ndrangheta clans
