rank,org_a,comm_a,org_b,comm_b,statements,relationship,betweenness,description,evidence
1,Aryan Brotherhood,C9 (16),Hells Angels Motorcycle Club,C2 (99),2,conflict,0.222304,Aryan Brotherhood and Hells Angels were involved in a power struggle resulting in a killing.,"The Brotherhood has associated in criminal ventures with the Hells Angels. The gangs were also involved in a power struggle in the East Bay, which led to the killing of Hells Angels vice-president Michael O'Farrell on June 6, 1989."
2,Aryan Brotherhood,C9 (16),Crips,C11 (20),3,conflict,0.191264,Crips is a rival gang of Aryan Brotherhood.,"Other rival gangs include the Black P. Stones, Bloods, Crips, D.C. Blacks, and Nuestra Familia."
3,Bloods,C11 (20),Mara Salvatrucha,C14 (12),4,conflict,0.182066,Bloods and MS-13 are rivals.,"Rivals: Crips, Aryan Brotherhood, Asian Boyz, Florencia 13, Folk Nation, Gangster Disciples, MS-13, Tiny Rascal Gang"
4,Cotroni crime family,C18 (12),Rock Machine Motorcycle Club,C2 (99),3,conflict,0.161037,The Rock Machine MC is listed as a rival of the Cotroni family.,"Rivals: Blass gang, Dubois gang, Rizzuto crime family, Rock Machine MC"
5,Commisso 'ndrina,C15 (16),Rizzuto crime family,C18 (12),2,conflict,0.147481,The Rizzuto crime family is listed as a rival of the Commisso 'ndrina in the infobox.,"Rivals: Costa 'ndrina , Independent Soldiers , Rizzuto crime family"
6,Rudaj Organization,C10 (23),American Mafia,C39 (8),1,conflict,0.144717,The Corporation had violent turf wars with various Italian mafia families.,"He allegedly established good working relationships with the Italian Mafia in the New York City area, but at other times the corporation had violent turf wars with various Italian mafia families."
7,'Ndrina Piromalli,C15 (16),'Ndrina Giuliano,C7 (40),1,conflict,0.135447,Piromalli subdued the Giuliano through homicides.,"porta alla luce 37 omicidi i quali piegano i Versace, i Priolo e i Giuliano"
8,Bonanno crime family,C10 (23),Bloods,C11 (20),1,conflict,0.119105,A Bloods member was hired to arrange a hit on Bonanno associates.,"federal prosecutors indicted Bushawn Shelton, allegedly a high-ranking member of the Bloods gang, with attempting to hire a hitman to kill Sylvester and Salvatore Zottola."
9,Latin Kings,C3 (47),Mara Salvatrucha,C14 (12),5,conflict,0.104262,MS-13 is listed as a rival of Latin Kings.,"Rivals: Crips, Dominicans Don't Play, Folk Nation, Gangster Disciples, Latin Eagles, Maniac Latin Disciples, MS-13, Ñetas, La Raza Nation, Simon City Royals, Los Solidos, Spanish Cobras, Tiny Rascal Gang, United Blood Nation"
10,Tren de Aragua,C6 (27),Latin Kings,C3 (47),2,conflict,0.096834,Latin Kings is listed as a rival of Tren de Aragua in the infobox.,"Rivals: ... Latin Kings [ unreliable source? ] , La Unión Tepito (certain cells) , Fuerza Anti-Unión , Sinaloa Cartel"
11,'Ndrina Giuliano,C7 (40),Nuova Camorra Organizzata,C5 (17),3,conflict,0.091495,The Giuliano clan worked to destroy the Nuova Camorra Organizzata.,"Nella faida tra Nuova Camorra Organizzata e Nuova Famiglia della prima metà degli anni ottanta, il clan si adopera per annientare Raffaele Cutolo , fondatore e capo della Nuova Camorra Organizzata."
12,Crips,C11 (20),Latin Kings,C3 (47),3,conflict,0.091307,Latin Kings is listed as a rival of Crips in infobox.,"Rivals: Aryan Brotherhood, Bloods, Florencia 13, Latin Kings, People Nation, Playboys, Santa Monica 13, Tiny Rascal Gang, United Blood Nation, Venice 13"
13,Mara Salvatrucha,C14 (12),Los Zetas,C1 (66),3,conflict,0.083325,MS-13 members fought against Los Zetas as part of Sinaloa Cartel's forces.,The cruelty of the distinguished members of the Maras or Mareros resulted in some being recruited by the Sinaloa Cartel battling against Los Zetas in the Mexican drug war.
14,Nuova Camorra Organizzata,C5 (17),American Mafia,C39 (8),2,conflict,0.081649,The NCO was opposed to the business-oriented Camorra that partnered with Cosa Nostra.,"La NCO rappresentò il modello della “camorra di massa”, ... in contrapposizione alla “camorra-impresa” orientata agli affari e ai partenariati con Cosa nostra."
15,Tren de Aragua,C6 (27),Comando Vermelho,C8 (33),1,conflict,0.080412,El infobox lista al Comando Vermelho como enemigo del Tren de Aragua.,Enemigos: Comando Vermelho
16,Commisso 'ndrina,C15 (16),Independent Soldiers,C13 (24),2,conflict,0.075802,The Independent Soldiers are listed as a rival of the Commisso 'ndrina in the infobox.,"Rivals: Costa 'ndrina , Independent Soldiers , Rizzuto crime family"
17,18th Street Gang,C14 (12),Florencia 13,C42 (9),2,conflict,0.064517,Florencia 13 is a rival of 18th Street.,"Rivals: Avenues, Mara Salvatrucha, Playboys, Santa Monica 13, Temple Street (gang), Vineland Boys, Florencia 13, Bloods, Black P. Stones (Jungles)"
18,Florencia 13,C42 (9),Grape Street Watts Crips,C89 (5),1,conflict,0.061383,Grape Street Watts Crips is listed as a rival of Florencia 13 in the infobox.,"Rivals: 18th Street gang , 38th Street gang , Grape Street Watts Crips , Watts Varrio Grape Street 13 , Hat Gang Watts Crips , Huntington Park Locos , Playboys , East Side 13 , South Los 13"
19,Wolfpack Alliance,C13 (24),Sinaloa Cartel,C1 (66),1,conflict,0.058380,The Sinaloa Cartel lost confidence in the Wolfpack and began operating independently in Canada.,"The Sinaloa Cartel had long had doubts about the competence of the Wolfpack, especially Nero, and decided after his arrest to move into Canada themselves."
20,Bonanno crime family,C10 (23),Rizzuto crime family,C18 (12),2,conflict,0.043558,Bonanno family later became rivals with Rizzuto family per infobox.,Rivals: Rizzuto crime family
21,Martinez Familia Sangeros,C20 (12),Rudaj Organization,C10 (23),1,conflict,0.039443,The Corporation is listed as a rival of the Puerto Rican Mob in the infobox.,"Rivals: La Rompe ONU , The Corporation , Paulino Castillo Organization (conflict with some families) , Mau Maus (defunct) , Medellín Cartel (defunct) , Gulf Cartel , Grupo 27"
