rank,org_a,comm_a,org_b,comm_b,statements,relationship,betweenness,description,evidence
1,'Ndrangheta,C3 (47),Los Zetas,C2 (82),4,cooperation,0.115913,'Ndrangheta works in conjunction with Los Zetas in drug trade.,"the 'Ndrangheta works in conjunction with Mexican drug cartels in the drug trade, such as with the mercenary army known as Los Zetas."
2,'Ndrangheta,C3 (47),Primeiro Comando da Capital,C15 (27),5,cooperation,0.097712,'Ndrangheta and PCC formed an alliance for cocaine trafficking.,an alliance between various 'ndrine clans and the Primeiro Comando da Capital since the mid-2010s has increased the mafia's presence in the country
3,Bonanno crime family,C1 (87),Sicilian Mafia,C3 (47),5,cooperation,0.075431,Bonanno family cooperated with Sicilian Mafia in heroin trafficking.,"the family maintained close ties to the Sicilian Mafia, with whom it orchestrated the importation of billions of dollars' worth of heroin into the United States during the mid-to-late 20th century."
4,'Ndrina De Stefano,C12 (30),Nuova Camorra Organizzata,C3 (47),6,cooperation,0.072485,De Stefano used NCO to kill Tripodo; they worked together in drug trafficking.,Domenico Tripodo fu arrestato il 21 febbraio 1975 e incarcerato alla prigione di Poggioreale a Napoli e fu ucciso il 26 agosto 1976 in cella su richiesta di Paolo De Stefano dalla Nuova Camorra Organizzata di Raffaele Cutolo che lavorava con loro nel
5,Bandidos Motorcycle Club,C8 (40),Los Zetas,C2 (82),4,cooperation,0.067647,Infobox lists Los Zetas as ally.,"Allies: Brother Speed MC, Chicanos MC, Diablos MC, Mobshitters MC, Outlaws MC, Rock Machine MC, Satudarah MC, X-Team, Los Zetas"
6,Nuova Famiglia,C6 (59),American Mafia,C3 (47),3,cooperation,0.065593,The Nuova Famiglia was created in agreement with Cosa Nostra.,"Proprio tra fine di questo decennio e i primissimi anni di quello successivo nacque, “d’intesa con Cosa nostra”, la Nuova Famiglia (NF)"
7,Camorra,C3 (47),Al-Qaeda,C7 (75),1,cooperation,0.063359,"Camorra allegedly provided safe houses, forged documents, firearms, and explosives to Al-Qaeda in exchange for narcotics.","In 2005, it was alleged the Camorra created safe houses, forged documents, firearms, and explosives to Al-Qaeda in return for narcotics, which are brought into Italy via the Adriatic Sea."
8,Hells Angels Motorcycle Club,C4 (69),Sinaloa Cartel,C2 (82),3,cooperation,0.054011,"Mexican cartels including Sinaloa Cartel smuggle cocaine into Canada via the Port of Vancouver, which is controlled by Hells Angels.","In 2012, a report by Transport Canada stated that the a number of Mexican cartels such as the Sinaloa Cartel, Los Zetas, the Knights Templar Cartel and the South Pacific Cartel are smuggling cocaine into Canada via the port of Vancouver."
9,Revolutionary Armed Forces of Colombia,C9 (24),Sinaloa Cartel,C2 (82),3,cooperation,0.047015,FARC is allied with the Sinaloa Cartel.,"Allies: Drug cartels CJNG , Sinaloa Cartel"
10,Primeiro Comando da Capital,C15 (27),Hezbollah,C21 (17),2,cooperation,0.045809,PCC lists Hezbollah as an ally in infobox.,"Allies: Asia : Turkish mafia , Lebanese mafia , Hezbollah , Yakuza , Triad ."
11,American Mafia,C3 (47),Crips,C10 (32),2,cooperation,0.039856,The American Mafia is allied with the Crips.,"Allies: ... various street gangs (such as the Bloods, Crips, and Latin Kings)"
12,American Mafia,C3 (47),Hells Angels Motorcycle Club,C4 (69),2,cooperation,0.038707,The American Mafia is allied with the Hells Angels.,"Allies: ... various motorcycle gangs (such as the Hells Angels, Outlaws, and Pagan's)"
13,Outlaws Motorcycle Club,C8 (40),Hammerskins,C66 (9),2,cooperation,0.034246,Infobox lists Hammerskins as ally.,"Allies: Aryan Nations, Bandidos MC, Black Pistons MC, Breed MC, Buffalo crime family, Chicago Outfit, Detroit Partnership, Grim Reapers MC, Gypsy Joker MC, Hammerskins, New Orleans crime family, Pittsburgh crime family, Rock Machine MC"
14,Camorra,C3 (47),Islamic State,C7 (75),1,cooperation,0.033468,Camorra may be in alliance with Islamic State for drug distribution.,"According to numerous articles, the Camorra may be in alliance with the Islamic State ."
15,'Ndrina Pesce,C5 (44),Gulf Cartel,C2 (82),2,cooperation,0.032834,"Ierinò, Commisso, Coluccio, Aquino, and Pesce managed drug trafficking together with Cartel del Golfo.","Il traffico veniva gestito insieme al Cartello del Golfo e ai cartelli colombiani , per la 'Ndrangheta c'erano presunti affiliati agli Ierinò , Commisso , Coluccio, Aquino e Pesce"
16,Mexican Mafia,C17 (19),Sinaloa Cartel,C2 (82),5,cooperation,0.032805,Sinaloa Cartel is listed as an ally of Mexican Mafia in infobox.,"Allies: Armenian Power , Aryan Brotherhood , Gambino crime family , Hells Angels MC (1960s–1980s) , Independent Soldiers , Los Angeles crime family , Mexikanemi , Mongols MC , MS-13 , Sinaloa Cartel , Sureños , Tijuana Cartel"
17,American Mafia,C3 (47),Outlaws Motorcycle Club,C8 (40),2,cooperation,0.032609,The American Mafia is allied with the Outlaws.,"Allies: ... various motorcycle gangs (such as the Hells Angels, Outlaws, and Pagan's)"
18,Bonanno crime family,C1 (87),Rizzuto crime family,C4 (69),7,cooperation,0.032586,Bonanno family was formerly allied with Rizzuto family per infobox.,Allies: ... Rizzuto crime family (formerly)
19,'Ndrina Mancuso,C23 (13),Revolutionary Armed Forces of Colombia,C9 (24),3,cooperation,0.032137,The Mancuso have contacts with the FARC.,Hanno contatti con ... le FARC colombiane
20,American Mafia,C3 (47),Latin Kings,C10 (32),4,cooperation,0.030497,The American Mafia is allied with the Latin Kings.,"Allies: ... various street gangs (such as the Bloods, Crips, and Latin Kings)"
21,Kurdistan Workers' Party,C34 (22),Popular Front for the Liberation of Palestine,C21 (17),1,cooperation,0.027730,The PKK lists the Popular Front for the Liberation of Palestine as an ally.,Allies: ... Popular Front for the Liberation of Palestine
22,Latin Kings,C10 (32),Sinaloa Cartel,C2 (82),3,cooperation,0.027568,Sinaloa Cartel is listed as an ally of Latin Kings.,"Allies: American Mafia, Black P. Stones, Bloods, Diablos MC, Four Corner Hustlers, Pagan's MC, People Nation, Sinaloa Cartel, Vice Lords"
23,'Ndrina Piromalli,C5 (44),Clan dei Casamonica,C3 (47),3,cooperation,0.026602,Piromalli allied with Casamonica for money laundering and setting up companies.,"Il 25 marzo 2010 viene scoperto un sodalizio tra Pietro D'Ardes, Rocco Casamonica del clan dei Casamonica e affiliati alla 'ndrangheta dei Piromalli- Molè e Alvaro per il riciclaggio dei proventi illeciti e costituzione di società"
24,Commisso 'ndrina,C5 (44),Gulf Cartel,C2 (82),2,cooperation,0.024891,"Ierinò, Commisso, Coluccio, Aquino, and Pesce managed drug trafficking together with Cartel del Golfo.","Il traffico veniva gestito insieme al Cartello del Golfo e ai cartelli colombiani , per la 'Ndrangheta c'erano presunti affiliati agli Ierinò , Commisso , Coluccio, Aquino e Pesce"
25,14K,C26 (21),Sinaloa Cartel,C2 (82),2,cooperation,0.024507,14K supplies raw materials for methamphetamine to the Sinaloa Cartel.,Intelligence reports from the Attorney General of Mexico and the Philippine Drug Enforcement Agency have indicated that the 14K triad is among the suppliers of raw materials used in the manufacturing of methamphetamine to the Sinaloa Cartel.
26,Clan Giuliano,C19 (21),Nuova Famiglia,C6 (59),3,cooperation,0.023327,The Giuliano brothers joined the Nuova Famiglia to fight Cutolo.,"In questo contesto i fratelli Giuliano si inseriscono stabilmente nell'organizzazione detta Nuova Famiglia , creata con il solo intento di distruggere Cutolo."
27,Clan dei Casalesi,C6 (59),Gambino crime family,C1 (87),3,cooperation,0.023033,Casalesi clan smuggled heroin to the Gambino crime family.,"Heroin was smuggled as well, and shipments to the Gambino crime family were concealed inside espresso filters."
28,Al-Shabaab,C7 (75),Houthis,C21 (17),4,cooperation,0.022920,"Al-Shabaab is alleged to be allied with Houthis, though denied.","Allies: ... Houthis (alleged, denied)"
29,'Ndrina Barbaro,C16 (16),Sicilian Mafia,C3 (47),2,cooperation,0.022900,Barbaro 'ndrina cooperated with Sicilian Mafia in a cocaine trafficking cartel.,participating in a cartel of 'Ndrangheta families involved in cocaine trafficking with the Sicilian Mafia family of Mariano Agate
30,Hammerskins,C66 (9),Atomwaffen Division,C30 (17),1,cooperation,0.022498,Finnish Atomwaffen members frequented Crew 38 headquarters.,Crew 38 came under police investigation in connection to the Kankaanpää terrorism arrests when the leader and members of the Finnish Atomwaffen group frequented the Crew 38 headquarters in Muurame and Kerava.
